"","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","Yr Built","LSqft/Ac","DAM/CDAM","V","PP","BAC","Contract Status Change Date","MLS"
"1","PV23186008","S","SFR/D","34","Shady Vista RD  ","RHE","165","STD","$2,010,000","$913.22","4/3,0,0,0","2201/A","1957/ASR","30,116/0.6914","0/0","Y","Y","2.5%","10/05/23","CRMLSM"
"1","OC24199699","S","SFR/D","3","Bay Mare LN  ","RHE","165","PRO,CONS","$2,025,000","$799.76","4/3,0,0,0","2532/A","1971/PUB","18,108/0.4157","75/75","N","Y","","02/11/25","CRMLSM"
"1","SB25226337","S","SFR/D","4133","Roessler CT  ","PVP","165","STD","$2,050,000","$795.50","3/2,0,1,0","2577/A","1970/ASR","9,562/0.2195","6/6","Y","Y","","11/05/25","CRMLSM"
"1","PV23140433","S","SFR/D","27608","Saddle RD  ","RHE","165","STD","$2,075,000","$788.37","4/3,0,0,0","2632/A","1955/ASR","12,809/0.2941","99/99","Y","N","2.5%","01/10/24","CRMLSM"
"1","PV24012913","S","SFR/D","26834","Eastvale RD  ","PVP","165","STD","$2,090,000","$898.15","3/1,1,0,0","2327/A","1952/ASR","26,251/0.6026","9/9","Y","Y","2.5%","03/15/24","CRMLSM"
"1","PV23146194","S","SFR/D","20","Sorrel LN  ","RHE","165","TRUS","$2,100,000","$748.40","5/3,0,0,0","2806/A","1954/ASR","22,271/0.5113","11/11","Y","N","2.5%","09/26/23","CRMLSM"
"1","SB24179046","S","SFR/D","4333","Cartesian CIR  ","PVP","165","TRUS","$2,110,000","$895.97","3/2,0,1,0","2355/A","1971/ASR","9,773/0.2244","45/45","Y","N","","11/08/24","CRMLSM"
"1","SB24117121","S","SFR/D","27672","Eastvale RD  ","PVP","165","TRUS","$2,127,500","$764.19","4/3,0,0,0","2784/A","1961/ASR","22,596/0.5187","9/9","Y","Y","2.5%","07/30/24","CRMLSM"
"1","PV25201762","S","SFR/D","4338","Cartesian CIR  ","PVP","165","TRUS","$2,140,000","$853.27","4/3,0,0,0","2508/A","1972/PUB","9,878/0.2268","10/10","Y","N","","10/17/25","CRMLSM"
"1","PV25100022","S","SFR/D","26922","Eastvale RD  ","PVP","165","STD","$2,140,000","$949.00","3/2,0,1,0","2255/A","1954/ASR","28,315/0.65","16/16","Y","N","","06/20/25","CRMLSM"
"1","PV25069569","S","SFR/D","16","Roanwood DR  ","RHE","165","TRUS","$2,145,000","$1,046.34","3/3,0,0,0","2050/A","1956/ASR","16,225/0.3725","12/12","N","Y","","05/15/25","CRMLSM"
"1","PV25138939","S","SFR/D","55","Encanto DR  ","RHE","165","STD","$2,160,000","$620.33","5/4,0,0,0","3482/D","1960/PUB","18,569/0.4263","64/64","Y","N","","10/15/25","CRMLSM"
"1","25512286","S","SFR","3743","Palos Verdes Dr N   ","RHE","165","STD","$2,180,000","$751.47","5/4,0,0,0","2901/","1963","21,447/0.4924","56/56","Y","N","","05/30/25","CLAW"
"1","SB25097612","S","SFR/D","5","Santa Bella RD  ","RHE","165","STD","$2,185,000","$888.93","3/2,1,0,0","2458/A","1957/ASR","22,274/0.5113","42/42","Y","N","","07/31/25","CRMLSM"
"1","PV25222862","S","SFR/D","4032","Rousseau Ln   ","PVP","165","STD","$2,200,000","$877.19","5/2,2,0,0","2508/A","1972/ASR","20,529/0.4713","6/6","Y","Y","","11/25/25","CRMLSM"
"1","SB25004417","S","SFR/D","4","Peacock LN  ","RHE","165","TRUS","$2,200,000","$897.23","4/1,1,0,1","2452/A","1971/PUB","18,252/0.419","16/16","Y","Y","","02/25/25","CRMLSM"
"1","SB25259443","S","SFR/D","54","Ranchview RD  ","RHE","165","TRUS","$2,215,000","$791.07","4/2,1,0,0","2800/A","1955/ASR","22,637/0.5197","74/74","Y","N","","03/06/26","CRMLSM"
"1","OC24255439","S","SFR/D","38","Montecillo DR  ","RHE","165","STD","$2,249,000","$1,100.83","3/2,0,0,0","2043/A","1962/ASR","68,592/1.5747","25/25","Y","N","","03/07/25","CRMLSM"
"1","26651847","S","SFR/D","27280","Eastvale RD  ","PVP","165","STD","$2,250,000","$857.79","4/3,0,1,0","2447/","1955","17,276/0.3966","35/35","Y","N","","03/20/26","CLAW"
"1","SB25033472","S","SFR/D","4040","Montaigne Way   ","PVP","165","STD","$2,250,000","$724.87","5/3,0,0,0","3104/A","1973/ASR","9,901/0.2273","7/7","N","N","","03/28/25","CRMLSM"
"1","PV25181957","S","SFR/D","4358","Cartesian CIR  ","PVP","165","STD","$2,250,000","$897.13","4/3,0,0,0","2508/A","1973/ASR","116,250/2.6687","6/6","Y","N","","09/05/25","CRMLSM"
"1","26640349","S","SFR/A","4142","Roessler CT  ","PVP","165","STD","$2,250,000","$994.26","4/3,0,0,0","2263/","1972","9,553/0.2193","35/35","N","N","","03/03/26","CLAW"
"1","24435033","S","SFR","89","Buckskin LN  ","RHE","165","STD","$2,270,000","$1,041.76","3/1,1,1,0","2179/A","1959/ASR","87,916/2.0183","35/35","Y","Y","","10/10/24","CLAW"
"1","PV25054287","S","SFR/D","26652","Westvale   ","PVP","165","STD","$2,320,000","$637.89","4/2,0,2,0","3637/A","1975/ASR","15,758/0.3618","25/253","Y","Y","","05/01/25","CRMLSM"
"1","PV22223600","S","SFR/D","2255","Palos Verdes DR  N","RHE","165","STD","$2,325,000","$936.74","4/2,2,0,0","2482/A","1953/ASR","23,839/0.5473","251/251","N","Y","2.5%","08/02/23","CRMLSM"
"1","PV23224266","S","SFR/D","63","Ranchview RD  ","RHE","165","TRUS","$2,350,000","$682.54","4/3,0,0,0","3443/A","1956/ASR","13,908/0.3193","76/76","Y","N","2.5%","04/23/24","CRMLSM"
"1","SB24025375","S","SFR/D","26633","Academy DR  ","PVP","165","TRUS","$2,350,000","$757.09","5/3,0,0,0","3104/A","1972/ASR","15,931/0.3657","34/34","Y","Y","2.5%","04/10/24","CRMLSM"
"1","PV25191057","S","SFR/D","16","Silver Saddle LN  ","RHE","165","STD","$2,399,000","$1,091.45","3/2,0,0,0","2198/A","1953/ASR","16,045/0.3683","23/23","Y","Y","","11/30/25","CRMLSM"
"1","SB25014592","S","SFR/D","6","Pinto LN  ","RHE","165","TRUS","$2,400,000","$1,225.11","4/2,0,1,0","1959/A","1960/ASR","16,915/0.3883","8/8","Y","N","","03/17/25","CRMLSM"
"1","PV25005276","S","SFR/D","14","Club View LN  ","RHE","165","STD","$2,420,000","$855.43","5/2,1,0,0","2829/A","1971/ASR","17,919/0.4114","9/9","Y","Y","","02/14/25","CRMLSM"
"1","PV24115045","S","SFR/D","4","Celeste PL  ","RHE","165","STD","$2,435,000","$897.20","4/3,0,0,0","2714/S","1961/ASR","16,278/0.3737","25/25","Y","Y","2.5%","07/24/24","CRMLSM"
"1","SB25044644","S","SFR/D","27215","Sunnyridge RD  ","PVP","165","STD,TRUS","$2,456,000","$599.61","4/3,0,1,0","4096/A","1956/ASR","23,896/0.5486","85/85","Y","N","","07/09/25","CRMLSM"
"1","P1-16890","S","SFR/D","16","Deerhill DR  ","RHE","165","STD","$2,500,000","$748.94","4/1,2,0,0","3071/A","1968/ASR","21,161/0.4858","87/87","Y","N","2.500%","06/11/24","CRMLSF"
"1","PV25165183","S","SFR/D","55","Hidden Valley RD  ","RHE","165","STD","$2,515,000","$1,063.87","4/3,0,0,0","2364/A","1962/ASR","38,103/0.8747","8/8","Y","N","","09/23/25","CRMLSM"
"1","PV24066366","S","SFR/D","27317","Sunnyridge RD  ","PVP","165","STD","$2,525,000","$1,032.72","3/3,0,0,0","2445/A","1956/PUB","32,304/0.7416","10/10","Y","N","2.5%","05/16/24","CRMLSM"
"1","PV24183354","S","SFR/D","5052","Range Horse LN  ","RHE","165","STD","$2,550,000","$1,174.03","5/2,1,0,0","2172/A","1953/ASR","23,261/0.534","9/9","Y","N","","10/16/24","CRMLSM"
"1","SB24213640","S","SFR/D","4663","Sugarhill DR  ","RHE","165","TRUS","$2,565,000","$787.53","5/3,0,0,0","3257/A","1964/ASR","20,777/0.477","164/164","Y","N","","04/30/25","CRMLSM"
"1","GD25088435","S","SFR/D","39","Ranchview RD  ","RHE","165","STD","$2,585,000","$929.86","4/2,1,0,0","2780/A","1955/ASR","12,230/0.2808","5/5","Y","Y","","06/13/25","CRMLSM"
"1","WS26002865","S","SFR/D","26633","Academy   ","PVP","165","STD","$2,600,000","$837.63","5/3,0,0,0","3104/A","1972/PUB","15,931/0.3657","9/144","Y","Y","","02/03/26","CRMLSM"
"1","SB23139359","S","SFR/D","3","Peacock LN  ","RHE","165","STD,TRUS","$2,600,000","$858.65","5/3,0,0,0","3028/A","1970/ASR","17,439/0.4003","18/18","Y","Y","2.25%","09/11/23","CRMLSM"
"1","SB23034583","S","SFR/D","12","Cerrito PL  ","RHE","165","STD","$2,600,000","$864.36","3/3,0,1,0","3008/A","2005/ASR","17,993/0.4131","144/144","Y","Y","2.5%","08/08/23","CRMLSM"
"1","PV25121590","S","SFR/D","12","Pinto LN  ","RHE","165","NOD,TRUS","$2,600,000","$584.27","5/3,0,1,0","4450/AP","1962/ASR","30,564/0.7017","20/20","Y","Y","","08/13/25","CRMLSM"
"1","SB25024683","S","SFR/D","27853","Conestoga DR  ","RHE","165","STD","$2,613,000","$824.55","4/4,0,0,0","3169/A","1957/ASR","24,447/0.5612","70/70","Y","Y","","05/20/25","CRMLSM"
"1","25572207","S","SFR/D","26521","Academy DR  ","PVP","165","STD","$2,620,000","$907.52","5/3,0,1,0","2887/","1973","15,334/0.352","68/68","N","N","","10/02/25","CLAW"
"1","PV25017306","S","SFR/D","6","Encanto DR  ","RHE","165","STD","$2,627,000","$972.96","3/2,1,0,0","2700/E","1960/ASR","16,359/0.3756","7/7","Y","N","","02/19/25","CRMLSM"
"1","SB25237219","S","SFR/D","36","Pony LN  ","RHE","165","STD","$2,633,000","$963.41","4/3,0,0,0","2733/A","1962/ASR","26,273/0.6031","78/78","Y","Y","","01/16/26","CRMLSM"
"1","PV23203758","S","SFR/D","27015","Sunnyridge Road   ","PVP","165","STD","$2,655,000","$803.09","4/2,1,0,0","3306/AP","1955/ASR","19,702/0.4523","26/26","Y","Y","2.5%*","01/02/24","CRMLSM"
"1","SB25079354","S","SFR/D","27089","Sunnyridge RD  ","PVP","165","STD","$2,685,000","$801.49","4/2,1,1,0","3350/P","1960/PUB","26,891/0.6173","34/34","Y","N","","06/20/25","CRMLSM"
"1","PV24156855","S","SFR/D","26140","Marina DR  ","RHE","165","STD,TRUS","$2,700,000","$1,065.09","4/3,0,0,0","2535/A","1963/PUB","43,578/1.0004","0/0","Y","Y","","08/29/24","CRMLSM"
"1","SB25050731","S","SFR/D","4","Singletree LN  ","RHE","165","STD","$2,700,000","$894.04","4/3,0,0,0","3020/A","1957/ASR","20,000/0.4591","120/120","N","N","","08/14/25","CRMLSM"
"1","PV24164907","S","SFR/D","26969","Eastvale RD  ","PVP","165","STD","$2,705,000","$912.31","5/4,0,0,0","2965/A","1955/ASR","13,957/0.3204","48/48","Y","Y","","11/26/24","CRMLSM"
"1","PV24216517","S","SFR/D","15","Masongate Dr   ","RHE","165","TRUS","$2,735,750","$1,142.75","4/1,2,0,0","2394/A","1960/ASR","20,804/0.4776","7/7","N","Y","","12/06/24","CRMLSM"
"1","PV23094980","S","SFR/D","4202","Rousseau LN  ","PVP","165","STD","$2,800,000","$816.56","5/3,0,1,0","3429/A","1972/ASR","10,209/0.2344","105/105","Y","N","2.5%","02/22/24","CRMLSM"
"1","SB23137899","S","SFR/D","4636","Sugarhill DR  ","RHE","165","TRUS","$2,825,000","$926.23","4/3,0,0,0","3050/A","1959/ASR","36,119/0.8292","11/11","Y","Y","2.5%","09/22/23","CRMLSM"
"1","PV24242650","S","SFR/D","25","Harbor Sight DR  ","RHE","165","STD","$2,850,000","$889.24","4/1,2,0,0","3205/AP","1955/ASR","15,555/0.3571","50/159","Y","Y","","02/10/25","CRMLSM"
"1","PV24188664","S","SFR/D","5","Ponderosa LN  ","RHE","165","STD","$2,850,000","$1,025.92","4/2,0,1,0","2778/A","1969/ASR","17,568/0.4033","12/12","Y","N","","11/15/24","CRMLSM"
"1","PV25163523","S","SFR/D","34","Shady Vista Road   ","RHE","165","STD","$2,850,000","$1,294.87","4/3,0,0,0","2201/P","1957/PUB","30,122/0.6915","11/11","Y","Y","","09/03/25","CRMLSM"
"1","PV25066173","S","SFR/D","6","Peacock Lane   ","RHE","165","STD","$2,892,000","$1,073.50","5/2,0,1,0","2694/P","1971/PUB","18,077/0.415","2/2","Y","Y","","04/23/25","CRMLSM"
"1","SB23171508","S","SFR/D","4166","Rousseau Lane   ","PVP","165","STD","$2,895,000","$823.61","5/3,1,0,0","3515/A","1987/ASR","43,855/1.0068","5/5","Y","Y","2.5%","10/17/23","CRMLSM"
"1","PV26027468","S","SFR/D","26","Santa Bella Road   ","RHE","165","STD","$2,942,500","$1,234.27","4/3,0,0,0","2384/A","1967/ASR","32,784/0.7526","8/8","Y","Y","","03/03/26","CRMLSM"
"1","SB25019583","S","SFR/D","66","Buckskin LN  ","RHE","165","STD","$2,950,000","$737.68","4/3,0,0,0","3999/A","2004/SLR","33,339/0.7654","4/4","Y","N","","02/24/25","CRMLSM"
"1","SB25233614","S","SFR/D","87","Dapplegray Lane   ","RHE","165","PRO","$2,950,000","$685.09","5/4,0,1,0","4306/A","1947/ASR","49,337/1.1326","25/25","Y","N","","12/04/25","CRMLSM"
"1","PV25172942","S","SFR/D","27610","Eastvale RD  ","PVP","165","STD,TRUS","$2,978,000","$601.74","6/4,0,1,0","4949/SEE","1970/ASR","28,907/0.6636","191/191","Y","Y","","03/10/26","CRMLSM"
"1","PV25239887","S","SFR/D","4548","Marloma Drive   ","RHE","165","STD","$3,021,000","$974.52","4/3,0,0,0","3100/T","1951/PUB","15,265/0.3504","10/10","Y","N","","12/12/25","CRMLSM"
"1","SB24166944","S","SFR/D","23","Dapplegray LN  ","RHE","165","STD","$3,050,000","$1,350.75","4/2,0,1,0","2258/A","1947/PUB","20,169/0.463","0/0","Y","Y","","08/13/24","CRMLSM"
"1","PV25083640","S","SFR/D","26954","Eastvale RD  ","PVP","165","STD","$3,098,500","$865.74","4/3,0,0,0","3579/A","2013/ASR","18,203/0.4179","13/13","Y","N","","05/29/25","CRMLSM"
"1","PV24068743","S","SFR/D","27330","Rainbow Ridge RD  ","PVP","165","STD","$3,165,000","$952.17","4/4,0,0,0","3324/A","1960/ASR","19,922/0.4573","9/9","Y","Y","2.5%","05/29/24","CRMLSM"
