"","Major Change Timestamp","Chg Type","","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Br/Ba","Yr Built","Sqft","Lot Size Square Feet","DAM/CDAM","MLS"
"1","11/21/23","Closed","P-S","SB23197395","S","SFR/D","1718 S","Anchovy AVE  ","SP","179","TRUS","$1,116,000","3/2,0,0,0","1960/ASR","1556/A","9,789","4/4","CRMLSM"
"1","09/03/24","Closed","P-S","PV24149852","S","SFR/D","1937","Vallecito DR  ","SP","179","TRUS","$1,120,000","4/1,1,0,0","1959/ASR","1766/A","7,322","11/11","CRMLSM"
"1","01/08/26","Closed","P-S","SB25260959","S","SFR/D","2211 W","37th   ","SP","179","STD","$1,145,000","3/2,0,0,0","1957/PUB","1668/A","6,155","6/6","CRMLSM"
"1","01/05/24","Closed","U-S","SB23198838","S","SFR/D","1614 W","21st ST  ","SP","179","TRUS","$1,174,000","4/3,0,0,0","1963/ASR","2254/B","5,918","43/43","CRMLSM"
"1","10/04/23","Closed","P-S","PV23165526","S","SFR/D","1636 W","22nd ST  ","SP","179","TRUS","$1,179,000","3/1,1,0,0","1963/ASR","1420/A","5,975","5/5","CRMLSM"
"1","08/14/25","Closed","P-S","SB25112089","S","SFR/D","1717","Cumbre DR  ","SP","179","STD,TRUS","$1,200,000","3/2,0,0,0","1957/ASR","1576/A","6,701","11/11","CRMLSM"
"1","06/24/25","Closed","P-S","SB25111492","S","SFR/D","1927","Marina DR  ","SP","179","STD","$1,201,000","3/2,0,0,0","1959/ASR","1520/A","6,315","8/8","CRMLSM"
"1","07/21/23","Closed","P-S","SB23099586","S","SFR/D","1736","Pelican AVE  ","SP","179","STD","$1,225,000","3/0,2,0,0","1959/PUB","1636/P","7,001","8/8","CRMLSM"
"1","09/01/23","Closed","P-S","SB23120199","S","SFR/D","2513","Gunnell AVE  ","SP","179","STD","$1,235,000","3/1,1,0,0","1956/ASR","1583/A","5,666","17/17","CRMLSM"
"1","07/31/23","Closed","P-S","PV23087798","S","SFR/D","2300 W","37th ST  ","SP","179","STD,TRUS","$1,235,000","3/2,0,0,0","1960/ASR","2041/A","7,285","23/23","CRMLSM"
"1","10/01/25","Closed","P-S","WS25179730","S","SFR/D","1925","Vallecito DR  ","SP","179","STD","$1,250,000","3/1,1,0,0","1959/ASR","1304/T","7,321","25/25","CRMLSM"
"1","03/04/24","Closed","A-S","SB24044479","S","SFR/D","2501","Bowfin Avenue   ","SP","179","STD","$1,280,000","3/1,1,0,0","1954/PUB","1492/P","286,319,880","0/0","CRMLSM"
"1","","Closed","P-S","25484155","S","SFR/D","1837","Palacios DR  ","SP","179","STD","$1,285,000","3/2,0,0,0","1960","1546/","6,001","4/4","CLAW"
"1","","Closed","P-S","25588149","S","SFR/D","2401","Robalo AVE  ","SP","179","STD","$1,295,000","4/2,1,0,0","1955/ASR","2214/A","6,507","56/56","CLAW"
"1","11/25/25","Closed","P-S","PV25226375","S","SFR/D","3408","Abalone AVE  ","SP","179","STD","$1,299,000","3/1,1,0,0","1956/PUB","1608/A","5,601","13/13","CRMLSM"
"1","12/01/25","Closed","P-S","SB25243935","S","SFR/D","1806 W","25th   ","SP","179","STD","$1,300,000","2/1,1,0,0","1959/ASR","1473/A","7,375","14/14","CRMLSM"
"1","07/16/25","Closed","P-S","SB25022740","S","SFR/D","1929","Cumbre DR  ","SP","179","STD","$1,300,000","3/2,0,0,0","1962/ASR","1952/A","5,406","112/206","CRMLSM"
"1","10/16/24","Closed","P-S","SB24149345","S","SFR/D","1607","Morse DR  ","SP","179","STD,TRUS","$1,313,000","4/2,0,1,0","1974/ASR","2386/A","6,439","49/49","CRMLSM"
"1","02/13/25","Closed","P-S","PV24198709","S","SFR/D","1766","Perch ST  ","SP","179","TRUS","$1,315,000","3/1,1,2,0","1956/PUB","2353/A","6,512","89/89","CRMLSM"
"1","07/15/24","Closed","P-S","SB24027709","S","SFR/D","3817","Shad PL  ","SP","179","STD","$1,320,000","3/2,0,1,0","1959/PUB","1736/A","7,263","91/91","CRMLSM"
"1","","Closed","U-S","25561877","S","SFR/D","2223","Mcrae DR  ","SP","179","STD","$1,320,000","4/3,0,0,0","1964/ASR","2531/A","6,572","181/181","CLAW"
"1","08/27/23","Closed","P-S","SB23135764","S","SFR/D","1927 S","Moray AVE  ","SP","179","STD","$1,330,000","3/2,0,0,0","1956/PUB","2134/A","5,947","8/8","CRMLSM"
"1","09/23/25","Closed","P-S","PV25092633","S","SFR/D","2128 W","Paseo Del Mar   ","SP","179","STD","$1,335,000","2/2,0,0,0","1957/ASR","1564/A","8,281","116/116","CRMLSM"
"1","03/26/26","Closed","A-S","SB26064776","S","SFR/D","1859 W","27th ST  ","SP","179","STD","$1,350,000","2/2,0,0,0","1956/ASR","2022/A","7,199","0/0","CRMLSM"
"1","12/19/25","Closed","P-S","SB25161555","S","SFR/D","1754","Perch ST  ","SP","179","TRUS","$1,350,000","3/1,1,0,0","1955/ASR","2059/A","7,082","134/134","CRMLSM"
"1","12/10/25","Closed","P-S","SB25183958","S","SFR/D","1718 W","27th   ","SP","179","STD","$1,360,000","3/2,0,1,0","1955/PUB","1626/P","5,823","88/88","CRMLSM"
"1","11/06/25","Closed","P-S","PV25184747","S","SFR/D","1719","Pescadores AVE  ","SP","179","STD","$1,375,000","4/1,1,0,0","1957/ASR","1574/A","7,896","49/49","CRMLSM"
"1","03/19/25","Closed","P-S","SB25014584","S","SFR/D","3710 S","Anchovy AVE  ","SP","179","TRUS","$1,380,000","3/2,0,0,0","1960/ASR","1702/A","9,262","9/9","CRMLSM"
"1","08/22/24","Closed","P-S","SB24109335","S","SFR/D","1800 W","25th ST  ","SP","179","STD","$1,380,000","3/3,0,0,0","1959/PUB","1836/A","7,890","24/24","CRMLSM"
"1","11/02/23","Closed","U-S","PV23167628","S","SFR/D","1814","Vallecito   ","SP","179","STD","$1,385,000","4/1,1,0,0","1960/ASR","1965/D","11,699","13/13","CRMLSM"
"1","08/24/24","Closed","U-S","SB24141891","S","SFR/D","2002","Marina PL  ","SP","179","TRUS","$1,391,000","3/2,0,0,0","1959/ASR","1772/A","6,571","6/6","CRMLSM"
"1","05/17/25","Closed","P-S","OC25069378","S","SFR/D","3420","Gurnard AVE  ","SP","179","STD","$1,395,000","3/2,0,0,0","1961/EST","1478/A","5,997","11/11","CRMLSM"
"1","03/07/25","Closed","P-S","PV25014299","S","SFR/D","2010 S","Moray AVE  ","SP","179","TRUS","$1,405,000","4/1,1,1,0","1967/ASR","2249/A","6,410","22/22","CRMLSM"
"1","11/06/24","Closed","P-S","SB24181515","S","SFR/D","3400","Mulldae AVE  ","SP","179","STD","$1,406,250","3/2,0,0,0","1960/ASR","1854/A","11,681","23/23","CRMLSM"
"1","10/02/24","Active UC","P-S","24407933","S","SFR","2227","Baleria DR  ","SP","179","STD","$1,407,000","4/2,1,0,0","1964","2547/","6,200","37/37","CLAW"
"1","01/22/25","Closed","P-S","SB24223204","S","SFR/D","1915","Palacios Dr   ","SP","179","TRUS","$1,425,000","3/1,1,1,0","1961/PUB","2170/P","7,285","17/17","CRMLSM"
"1","06/12/24","Closed","P-S","SR24090624","S","SFR/D","2175","Baleria DR  ","SP","179","STD","$1,425,000","4/2,0,0,0","1961/ASR","1920/A","6,148","13/13","CRMLSM"
"1","03/19/24","Closed","P-S","SB24022450","S","SFR/D","3007 S","Anchovy AVE  ","SP","179","STD","$1,430,000","3/1,1,0,0","1964/ASR","1776/A","9,714","24/24","CRMLSM"
