"","Major Change Timestamp","Chg Type","","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Br/Ba","Yr Built","Sqft","Lot Size Square Feet","DAM/CDAM","MLS"
"1","03/31/26","Coming Soon","-C","CV26069600","C","SFR/D","5","Toprail   ","RPV","167","TRUS","$1,890,000","4/0,1,2,0","1952/PUB","2600/O","24,524","0/0","CRMLSM"
"1","03/29/26","Coming Soon","-C","PV26067604","C","SFR/D","30481","Ganado   ","RPV","168","STD","$2,775,000","5/3,0,0,0","1964/ASR","2677/A","12,516","0/0","CRMLSM"
"1","03/31/26","Coming Soon","-C","PV26068555","C","SFR/D","6614","Abbottswood   ","RPV","173","STD","$1,899,000","5/3,0,0,0","1963/ASR","2428/T","9,501","0/0","CRMLSM"
"1","04/06/26","New","","PV26069951","A","SFR/D","2520","Via Sanchez   ","PVE","160","STD","$2,750,000","5/2,2,1,0","1974/ASR","3412/A","8,412","0/0","CRMLSM"
"1","03/27/26","New","","PV26066847","A","SFR/D","2941","Via Pacheco   ","PVE","160","STD","$3,200,000","5/3,0,0,0","1971/ASR","3150/E","10,129","10/10","CRMLSM"
"1","02/26/26","New","","PV26043004","A","SFR/D","1232","Via Coronel   ","PVE","160","STD","$3,289,000","4/2,1,0,0","1973/ASR","3442/A","11,020","39/39","CRMLSM"
"1","03/23/26","New","","PV26053499","A","SFR/D","1016","Via Romero   ","PVE","160","STD","$3,999,888","4/3,0,0,0","1976/PUB","3097/A","7,761","14/14","CRMLSM"
"1","01/23/26","New","","SB26016771","A","SFR/D","1501","Via Coronel   ","PVE","160","STD","$4,300,000","6/6,0,0,0","1979/ASR","6076/A","39,283","73/508","CRMLSM"
"1","03/28/26","Price Chg","$4,490K-&gt$4,395K","SR25239229","A","SFR/D","2532","Via Sanchez   ","PVE","160","STD","$4,395,000","4/4,0,1,0","2025/BLD","3595/O","7,456","174/174","CRMLSM"
"1","04/03/26","Price Chg","$5,195K-&gt$4,995K","PV26000560","A","SFR/D","1413","Via Castilla   ","PVE","160","STD","$4,995,000","6/5,0,1,0","1980/ASR","5298/A","14,499","56/56","CRMLSM"
"1","03/02/26","Price Chg","$5,699K-&gt$5,399K","PV25265790","A","SFR/D","3004","Paseo Del Mar   ","PVE","160","STD","$5,399,000","5/4,0,1,0","2011/ASR","5576/OTH","15,839","133/133","CRMLSM"
"1","02/04/26","New","","26647461","A","SFR/D","1736","Paseo Del Mar   ","PVE","160","STD","$5,500,000","5/4,0,0,0","2023/SLR","4363/D","10,637","61/61","CLAW"
"1","02/26/26","New","","26656799","A","SFR/D","1565","Via Leon   ","PVE","160","STD","$9,495,000","5/1,5,1,0","2024/SLR","6165/D","16,986","39/39","CLAW"
"1","02/24/26","New","","SB26037312","A","SFR/D","1816","Paseo Del Mar   ","PVE","160","STD","$11,900,000","6/9,0,0,0","2019/BLD","11000/B","23,109","41/41","CRMLSM"
"1","03/24/26","New","","PV26061348","A","SFR/D","1209","Granvia Altamira   ","PVE","162","TRUS","$3,000,000","4/2,0,2,0","1958/ASR","3441/A","18,977","13/13","CRMLSM"
"1","03/30/26","Price Chg","$3,800K-&gt$3,700K","SR25224222","A","SFR/D","1133","Granvia Altamira   ","PVE","162","STD","$3,700,000","5/5,0,1,0","1953/ASR","3818/E","20,341","188/188","CRMLSM"
"1","03/28/26","New","","PV26065077","A","SFR/D","1500","Via Arco   ","PVE","162","STD","$4,500,000","4/3,0,1,0","1976/ASR","3000/E","29,200","9/9","CRMLSM"
"1","01/16/26","Price Chg","$6,799K-&gt$5,950K","PV25046515","A","SFR/D","940","Paseo La Cresta   ","PVE","162","TRUS","$5,950,000","5/6,0,0,0","1981/ASR","7734/A","65,479","399/399","CRMLSM"
"1","04/04/26","Price Chg","$6,880K-&gt$6,780K","OC26014205","A","SFR/D","2521","Novato PL  ","PVE","162","TRUS","$6,780,000","3/1,2,0,0","1955/ASR","3586/A","65,179","74/599","CRMLSM"
"1","03/03/26","Price Chg","$7,895K-&gt$7,188K","SB25278581","A","SFR/D","2232","Via La Brea   ","PVE","162","STD","$7,188,000","5/5,0,2,0","2008/ASR","6349/A","18,998","56/56","CRMLSM"
"1","03/04/26","New","","PV26047166","A","SFR/D","1502","Paseo La Cresta   ","PVE","162","STD","$7,450,000","6/5,0,1,0","2000/PUB","7556/P","31,236","33/33","CRMLSM"
"1","","New","","26668675","A","SFR/D","1533","Via Lopez   ","PVE","162","STD","$9,480,000","6/8,0,0,0","2011","8610/","29,975","7/7","CLAW"
"1","03/05/26","New","","PV26048855","A","SFR/D","1412","Lower Paseo La Cresta   ","PVE","162","STD","$9,900,000","4/2,3,3,0","2001/ASR","7500/E","66,139","32/32","CRMLSM"
"1","03/07/26","Price Chg","$33,089K-&gt$28,888K","SB25139538","A","SFR/D","1129","Via Mirabel   ","PVE","162","STD","$28,888,000","13/20,0,0,0","1994/ASR","34143/A","143,392","289/289","CRMLSM"
"1","03/05/26","Price Chg","$3,299K-&gt$3,199K","OC25282317","A","SFR/D","5","Yellow Brick RD  ","RPV","163","STD","$3,199,000","4/3,0,1,0","1980/ASR","3884/A","20,440","81/81","CRMLSM"
"1","02/13/26","New","","SB26030844","A","SFR/D","773","Via Somonte   ","PVE","163","STD","$3,800,000","4/3,0,0,0","1958/ASR","2332/A","7,544","52/52","CRMLSM"
"1","02/04/26","BoM","W-A","SB25182697","A","SFR/D","1400","Via Montemar   ","PVE","163","STD","$4,395,000","3/3,1,0,0","1940/ASR","1668/A","15,464","196/196","CRMLSM"
"1","03/30/26","Price Chg","$5,500K-&gt$5,280K","PV26044153","A","SFR/D","1801","Via Arriba   ","PVE","163","STD","$5,280,000","4/2,1,1,0","1970/ASR","3906/D","8,995","38/38","CRMLSM"
"1","04/01/26","Price Chg","$5,900K-&gt$5,500K","PV26007957","A","SFR/D","728","Via Somonte   ","PVE","163","STD","$5,500,000","4/1,3,1,0","2026/SEE","3800/E","10,250","84/84","CRMLSM"
"1","01/26/26","New","","SB26013765","A","SFR/D","4","Yellow Brick Rd   ","RPV","163","STD","$8,200,000","5/1,4,2,0","2005/PUB","6468/A","24,378","70/70","CRMLSM"
"1","03/31/26","New","","26666347","A","SFR/D","1115","Palos Verdes DR  ","PVE","163","STD","$9,350,000","3/3,0,0,0","1952","2866/","20,631","14/14","CLAW"
"1","12/20/25","Price Chg","$2,100K-&gt$2,125K","SB25244824","A","SFR/D","121","Via Ardilla   ","PVE","164","STD","$2,125,000","3/2,0,0,0","1949/ASR","1911/A","7,789","138/138","CRMLSM"
"1","03/13/26","New","","PV26054989","A","SFR/D","4240","Via Pinzon   ","PVE","164","TRUS","$2,199,000","5/3,0,0,0","1954/APP","2334/A","7,202","24/24","CRMLSM"
"1","03/09/26","New","","PV26050873","A","SFR/D","4408","Via Pinzon   ","PVE","164","STD","$2,199,000","3/2,0,0,0","1955/ASR","1811/AP","7,650","28/28","CRMLSM"
"1","02/22/26","New","","PV26037792","A","SFR/D","300","Via Alcance   ","PVE","164","STD","$3,100,000","4/2,1,1,0","1950/ASR","2436/A","9,544","43/43","CRMLSM"
"1","04/01/26","BoM","H-A","PV26013584","A","SFR/D","3649","Navajo PL  ","PVE","164","STD","$4,899,000","4/4,0,0,0","2008/PUB","3871/A","13,387","37/37","CRMLSM"
"1","02/03/26","New","","SB26024622","A","SFR/A","16","Bridlewood Circle   ","RHE","165","STD","$2,450,000","4/3,0,0,0","1978/PUB","3578/A","23,027","62/62","CRMLSM"
