"","Listing ID","NMR","S","St#","St Name","Unit Number","City","MLS Area","Attached Garage YN","L/C Price","Bedrooms Total","Baths","Sqft","Yr Built","Lot Size Area","Subdivision Name","Close Date","List Office Name","List Agent First Name","List Agent Last Name"
"1","CV26069600","Y","C","5","Toprail   ","","Rancho Palos Verdes","167 - PV Dr East","Yes","$1,890,000","4","3","2600/O","1952/PUB","24,524","","","Elevate Real Estate Agency","Susanne","Franz"
"1","PV26067604","Y","C","30481","Ganado   ","","Rancho Palos Verdes","168 - Mira Catalina","Yes","$2,775,000","5","3","2677/A","1964/ASR","12,516","","","Estate Properties","Jerry","Yutronich"
"1","PV26068555","Y","C","6614","Abbottswood   ","","Rancho Palos Verdes","173 - Los Verdes","Yes","$1,899,000","5","3","2428/T","1963/ASR","9,501","","","Berkshire Hathaway HomeService","Sep","Ebrahimi"
"1","PV26069951","Y","A","2520","Via Sanchez   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","Yes","$2,750,000","5","5","3412/A","1974/ASR","8,412","","","Estate Properties","Cheryl","Rau"
"1","PV26066847","Y","A","2941","Via Pacheco   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","Yes","$3,200,000","5","3","3150/E","1971/ASR","10,129","","","Vista Sotheby's International Realty","Chris","Adlam"
"1","PV26043004","Y","A","1232","Via Coronel   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","Yes","$3,289,000","4","3","3442/A","1973/ASR","11,020","","","Estate Properties","Jason","Buck"
"1","PV26053499","Y","A","1016","Via Romero   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","Yes","$3,999,888","4","3","3097/A","1976/PUB","7,761","","","Compass","Karen","Lowe"
"1","SB26016771","Y","A","1501","Via Coronel   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","Yes","$4,300,000","6","6","6076/A","1979/ASR","39,283","","","Estate Properties","David","Keller"
"1","SR25239229","Y","A","2532","Via Sanchez   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","Yes","$4,395,000","4","5","3595/O","2025/BLD","7,456","","","The One Luxury Properties","Rebeca","Borges"
"1","PV26000560","Y","A","1413","Via Castilla   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","Yes","$4,995,000","6","6","5298/A","1980/ASR","14,499","","","Compass","Janet","Stearns"
"1","PV25265790","Y","A","3004","Paseo Del Mar   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","Yes","$5,399,000","5","5","5576/OTH","2011/ASR","15,839","","","Estate Properties","Gayle","Probst"
"1","26647461","","A","1736","Paseo Del Mar   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","No","$5,500,000","5","4","4363/D","2023/SLR","10,637","","","Strand Hill Properties","Suzanne","Dyer"
