2026-04-29T23:31:33.893186+00:00 start: 0 URLs already crawled (resume)
2026-04-29T23:31:33.899991+00:00 sitemap: 4140 lawn-garden URLs (no query) | todo: 4140
2026-04-29T23:32:26.693509+00:00 progress 50/4140 | parsed=33 skip=17 err=0 | 0.95/s | ETA 72.0min
2026-04-29T23:33:16.788270+00:00 progress 100/4140 | parsed=83 skip=17 err=0 | 0.97/s | ETA 69.3min
2026-04-29T23:34:07.090133+00:00 progress 150/4140 | parsed=128 skip=22 err=0 | 0.98/s | ETA 67.9min
2026-04-29T23:34:57.189452+00:00 progress 200/4140 | parsed=178 skip=22 err=0 | 0.98/s | ETA 66.7min
2026-04-29T23:35:47.378382+00:00 progress 250/4140 | parsed=228 skip=22 err=0 | 0.99/s | ETA 65.7min
2026-04-29T23:36:37.542926+00:00 progress 300/4140 | parsed=278 skip=22 err=0 | 0.99/s | ETA 64.8min
2026-04-29T23:37:27.702054+00:00 progress 350/4140 | parsed=323 skip=27 err=0 | 0.99/s | ETA 63.9min
2026-04-29T23:38:17.988793+00:00 progress 400/4140 | parsed=373 skip=27 err=0 | 0.99/s | ETA 63.0min
2026-04-29T23:39:11.245394+00:00 progress 450/4140 | parsed=420 skip=30 err=0 | 0.98/s | ETA 62.5min
2026-04-29T23:40:02.439197+00:00 progress 500/4140 | parsed=462 skip=38 err=0 | 0.98/s | ETA 61.7min
2026-04-29T23:40:52.607602+00:00 progress 550/4140 | parsed=512 skip=38 err=0 | 0.98/s | ETA 60.8min
2026-04-29T23:41:42.737379+00:00 progress 600/4140 | parsed=555 skip=45 err=0 | 0.99/s | ETA 59.9min
2026-04-29T23:42:43.297034+00:00 progress 650/4140 | parsed=605 skip=45 err=0 | 0.97/s | ETA 59.9min
2026-04-29T23:43:33.498016+00:00 progress 700/4140 | parsed=655 skip=45 err=0 | 0.97/s | ETA 58.9min
2026-04-29T23:44:24.752643+00:00 progress 750/4140 | parsed=705 skip=45 err=0 | 0.97/s | ETA 58.1min
2026-04-29T23:45:16.299037+00:00 progress 800/4140 | parsed=755 skip=45 err=0 | 0.97/s | ETA 57.2min
